,Ciudad,Pais,PM25,PM10,O3,NO2,CO,Fecha
356,Paris,France,52.0,40.0,29.0,49.0,5.0,2018-03-14
357,Paris,France,63.0,31.0,28.0,55.0,5.0,2018-03-15
358,Paris,France,52.0,41.0,28.0,49.0,5.0,2018-03-16
359,Paris,France,56.0,38.0,8.0,48.0,5.0,2018-03-17
360,Paris,France,84.0,40.0,19.0,41.0,3.0,2018-03-18
361,Paris,France,92.0,51.0,19.0,50.0,4.0,2018-03-19
362,Paris,France,106.0,41.0,25.0,42.0,4.0,2018-03-20
363,Paris,France,74.0,43.0,28.0,46.0,5.0,2018-03-21
364,Paris,France,65.0,50.0,26.0,54.0,5.0,2018-03-22
365,Paris,France,70.0,42.0,29.0,48.0,4.0,2018-03-23
366,Paris,France,62.0,47.0,28.0,48.0,5.0,2018-03-24
367,Paris,France,75.0,59.0,28.0,55.0,5.0,2018-03-25
368,Paris,France,116.0,54.0,32.0,46.0,5.0,2018-03-26
369,Paris,France,87.0,33.0,23.0,48.0,5.0,2018-03-27
370,Paris,France,64.0,26.0,32.0,41.0,4.0,2018-03-28
371,Paris,France,43.0,31.0,32.0,44.0,4.0,2018-03-29
372,Paris,France,45.0,29.0,27.0,49.0,5.0,2018-03-30
373,Paris,France,51.0,28.0,28.0,45.0,4.0,2018-03-31
374,Paris,France,51.0,27.0,30.0,38.0,3.0,2018-04-01
375,Paris,France,55.0,28.0,25.0,37.0,4.0,2018-04-02
376,Paris,France,57.0,31.0,24.0,45.0,5.0,2018-04-03
377,Paris,France,53.0,27.0,32.0,42.0,5.0,2018-04-04
378,Paris,France,44.0,31.0,31.0,45.0,5.0,2018-04-05
379,Paris,France,49.0,37.0,30.0,42.0,5.0,2018-04-06
380,Paris,France,58.0,37.0,32.0,46.0,5.0,2018-04-07
381,Paris,France,59.0,44.0,38.0,42.0,4.0,2018-04-08
382,Paris,France,65.0,43.0,26.0,51.0,6.0,2018-04-09
383,Paris,France,75.0,30.0,38.0,42.0,4.0,2018-04-10
384,Paris,France,58.0,36.0,39.0,53.0,5.0,2018-04-11
385,Paris,France,53.0,49.0,20.0,50.0,6.0,2018-04-12
